idioms,meaning
A bad break,1. A misfortune. 2. A serious bone fracture.
A bad hair day,A day on which everything seems to go wrong.
A bad workman always blames his tools,A proverb that suggests a poor workman tends to look for an excuse for his poor work.
A big ask,A favour which is a lot to ask of someone.
A bigger bang for your buck,Better value for your money.
A bird in the hand is worth two in the bush,Itâs better to have a lesser but certain advantage than the possibility of a greater one that may come to nothing.
A bite to eat,"A small meal, possibly taken quickly when time is short."
A blessing in disguise,An apparent misfortune that works to the eventual benefit of the recipient.
A bull and cow,Cockney rhyming slang for a row or argument.
A bunch of fives,"A fist, as used in a fight."
A chip on your shoulder,A sense of inferiority characterized by a quickness to take offence.
A diamond in the rough,A person or thing having good underlying qualities while appearing to be coarse and unpolished.
A dime a dozen,So commonplace as to be of little consequence.
A doubting Thomas,A sceptic who wonât accept a widely believed truth until seeing the evidence in person.
A drop in the bucket,A very small part of a bigger whole.
A fate worse than death,The reputed opinion of sexual intercourse by prim Victorian ladies.
A feather in one's cap,A symbol of achievement.
A fish out of water,Someone in an unfamiliar circumstance.
A flash in the pan,Something that fails to deliver long-term benefit after an initial success.
A fly in the ointment,A small flaw that spoils the whole.
A fly on the wall,1. An unperceived observer - able to see and hear but not be seen or heard. 2 - A form of cinema in which events are recorded without direction.
A fool and his money are soon parted,A foolish person is very likely to lose his money.
A fool's paradise,A state of euphoria with no basis in reality.
A foot in the door,An initial inroad that may lead to greater influence in future.
A golden key can open any door,Money always has a telling influence.
A hot potato,A current issue which many people are talking about and which is controversial.
A house divided against itself cannot stand,Failure is certain if those on the same side argue amongst themselves.
A knight in shining armour,"A person who comes to the aid of another when other hopes have faded, like the knights in romantic stories."
A leopard can't change his spots,You cannot change your innate self.
A little bird told me,I was told by an undisclosed source.
A load of cobblers,Nonsense.
A load of codswallop,Nonsense.
A lot on your plate,Having many responsibilities.
A man after my own heart,A kindred spirit. Someone who thinks as I do.
A miss is as good as a mile,Some endeavours either succeed or they donât - to miss narrowly is still failure.
A penny for your thoughts,A way of asking what someone is thinking.
A penny saved is a penny earned,Anything you save has the same effect as adding to your income.
A picture paints a thousand words,Pictures are far more descriptive than words.
A piece of cake,A task that can be accomplished very easily.
A pig in a poke,A commodity that is bought without first examining it.
A place in the sun,An idealistic dream of a sunny hideaway.
A red rag to a bull,A deliberate provocation.
A safe pair of hands,"A reliable person, who can be trusted not to fail in a a task."
A sea change,A radical change.
A sight for sore eyes,A welcome sight that you werenât expecting.
A skeleton in the closet,A secret and possibly ruinous source of shame.
A shot in the arm,A boost or encouragement.
A slap on the wrist,"A mild rebuke, often given when a more severe punishment might be expected."
A sledgehammer to crack a nut,The use of excessive resources to overcome a small problem.
A sorry sight,1. Something sadly neglected. 2. A person or thing of untidy appearance.
A stitch in time saves nine,A small effort made at the right time might save a calamity later on.
A stone's throw,A short distance.
A taste of your own medicine,Mistreatment you receive in retaliation to that you gave to others.
A thorn in my flesh,A persistent and difficult to ignore annoyance.
A toss up,"1. The flip of a coin to decide on something. 2. A result, usually between two courses of action, which is uncertain and could go either way."
A wolf in sheep's clothing,Someone who uses the pretence of kindliness to disguise their evil intent.
About face,1. A military command to turn when on parade. 2. A change from oneâs previous position.
About time,1. Almost time. 2. High time.
Absence makes the heart grow fonder,Our feelings for people and things grows when we are apart from them.
Abso-bloody-lutely,A more emphatic version of âAbsolutelyâ.
Ace in the hole,"A saved, hidden advantage that can supply a victory when revealed."
Achilles' heel,A fatal weakness in an otherwise strong person or thing.
Across the board,Applying everywhere and to all classes of thing.
Act your age,Behave in a manner appropriate to your stage in life.
Actions speak louder than words,Actions show oneâs character more than what you say.
Adam's ale,A reference to water - often used to emphasize the purity of water compared to other drinks.
Add fuel to the fire,Make a bad situation even worse than it is.
Add insult to injury,To further a loss. To make a bad situation worse.
Against the clock,In a great hurry to complete something before a set deadline.
Ain't my first rodeo,Said by someone who has experience of a situation.
Al fresco,In the open air.
Al desko,Eating oneâs lunch while still working. (A Pun on âAl frescoâ.).
All at sea,"In a confused, disordered state."
All kidding aside,"Said when you want people to realise you are speaking seriously, when they might otherwise think you were joking."
All bark and no bite,Having lots to say but not willing to engage in a fight.
All Greek to me,"Incomprehensible, as Greek is to someone who cannot speak it."
All in all,On the whole - when everything is considered.
All in a day's work,Typical; a normal set of circumstances.
All set,Ready to go.
All the way,"Referring to something that is done fully, especially as a euphemism for full sexual activity."
All thumbs,Clumsy or physically inept.
All to cock,Ruined or shambolic.
All together now,Invitation to join in communal singing.
Alley cat,1. A cat that lives wild in a town. 2. Slang term for a prostitute.
Alpha Mom,An ambitious mother who aims to excel at work while raising children.
Alphabet soup,"A jumble of words or letters, often referring to organisations known by their initials, like CIA or BBC."
Amber nectar,A slang term for lager.
Amped up,Excited and ready for action.
An act of God,Some event that is considered to be outside human control. Commonly used in insurance policies to refer to events that the insured cannot be held responsible for.
An arm and a leg,Very expensive. A large amount of money.
An axe to grind,A dispute with someone.
An open and shut case,A straightforward legal case in which the outcome is clear.
Ankle biter,A slang term for small child.
Apples and pears,Cockney rhyming slang for stairs.
As high as a kite,1. Very high up in the sky. 2. High on drugs or excitement.
At the drop of a hat,With no delay.
Away with the fairies,Not facing reality; in a dream world.
Baby brain,Confusion or forgetfulness caused by lack of sleep when caring for a new-born.
Baby bump,The protruding belly of a pregnant woman. Also used to describe the unborn child itself.
Baby snatcher,Someone who enters into an amorous relationship with a much younger person.
Back seat driver,Someone who criticizes from the side-lines without being directly involved.
Back to square one,Back to the beginning.
Back to the drawing board,Said when a plan fails and it's time to start again and make a new plan.
Bag lady,"A homeless woman, who carries all her possessions in shopping bags."
Baker's dozen,Thirteen.
Barking up the wrong tree,Responding to something which isn't the important issue.
Barnet Fair,Cockney rhyming slang for hair.
Basket case,"A person or thing that is no longer able to function effectively, either through disability or misfortune."
Bat from the pavilion end,Slang term for a homosexuality.
Be a sport,Be generous and/or sportsmanlike.
Be glad to see the back of,Be happy when a person leaves or when an unpleasant situation is ended.
Beach bum,"Someone, usually a youngster, who spends all their time hanging out at the beach surfing and partying."
Bean counter,A disparaging term for an accountant or anyone who compiles statistics.
Beat around the bush,Avoiding the main topic.
Beauty contest / Beauty parade,A political contest in which the result is influenced by personality and image more than by policy.
Bedroom tax,slang term for UK's removal of Spare Room Subsidy.
Bells and whistles,Attractive additional features or trimmings.
Bend over backwards,Make extravagant efforts to avoid bias.
Between a rock and a hard place,Between two unwelcome options.
Between the wars,The period between WWI and WWII.
Beyond price,To be so prized and valuable as to not be obtainable by money.
Big fish in a small pond,An important person but only so within a small area of influence.
Binge watch,Watch multiple episodes of a television programme in succession.
Bitch slap,An open-handed slap in the face intended to be humiliating.
Bite off more than you can chew,Take on a task that is more than one can manage.
Bite the dust,"Die, especially in a violent or sudden way."
Bite your tongue,Avoid speaking.
Blood blister,Cockney rhyming slang for sister.
Blood is thicker than water,Family loyalties are stronger than those to other people.
Blow a raspberry,Cockney rhyming slang for fart.
Blue plate special,A set meal provided at a reduced price.
Boat race,Cockney rhyming slang for face.
Bottle and glass,Cockney rhyming slang for arse.
Bought the farm,"Died, especially in a violent way which may give rise to an insurance claim."
Brahms and Lizst,Cockney rhyming slang for pissed.
Brass monkey weather,Extremely cold weather. The full expression is 'Cold enough to freeze the balls off a brass monkey'.
Brass tacks,Cockney rhyming slang for facts.
Break a leg,"A superstitious way to wish 'good luck' to an actor before a performance while avoiding saying 'good luck' out loud, which is considered unlucky."
Breast is best,Slogan of breastfeeding campaign.
Bricks and mortar,Cockney rhyming slang for daughter.
Brighton Pier,Cockney rhyming slang for queer (i.e. homosexual).
Bring your A game,Perform to the best of your ability.
Brown bread,Cockney rhyming slang for dead.
Brown out,1. A partial failure of the electricity supply. 2. The exposing of one's buttocks in public.
Brum brum,Child's play idiom expressing the sound of a vehicle.
Bucket list,A list of things you plan to do before you 'kick the bucket' (die). Often a list of fanciful ideas rather than of concrete plans.
Burn the midnight oil,To work late into the night.
Bust a move,Dance in a stylish way.
Buy a lemon,Waste money by purchasing a car that is frequently faulty.
Calendar year,Twelve months beginning from the first of January.
Can't cut the mustard,Unable to meet the demands put upon you.
Canteen culture,Boorish behaviour by rank and file police or soldiers.
Carbon footprint,A measure of the amount of carbon dioxide (CO2) emitted during an industrial or domestic process.
Carpe diem,Latin expression meaning seize the day.
Cast iron stomach,Said to be possessed by someone who is able to eat anything with no ill effects.
Cat got your tongue?,A question addressed to someone who is inexplicably silent. The implication is that the person's tongue is missing.
Caught between two stools,Finding it difficult to choose between two alternatives.
Caught by the short hairs (or short and curlies),Trapped by an opponent in a situation you can't escape.
Chaise Lounge,The American spelling for the piece of furniture known elsewhere as a chaise longue.
Charley horse,Stiffness or cramp in the arm or leg.
Chasing tail,Of a man pursuing women.
Cheek by jowl,Side by side; close together.
Chicken feed,"Something of little importance, especially a small sum of money."
Cherry ripe,Cockney rhyming slang for pipe.
Chew someone out,Verbally scold someone.
Children should be seen and not heard,Old proverb suggesting that children should not impinge on the adult world.
China plate,Cockney rhyming slang for mate.
Chow down,Begin to eat.
City bike,A bicycle designing especially for urban riding.
Click bait,An eye catching word or image on a website.
Close but no cigar,Very near to success but falling short.
Cloud cuckoo land,An imaginary idealistic state where everything is perfect. It is usually used with reference to someone who has an overly optimistic and unrealistic belief.
Cock and bull story,An unbelievable tale.
Code monkey,Slang term for a computer programmer.
Cold enough to freeze the balls off a brass monkey,Extremely cold weather. The full expression is 'Cold enough to freeze the balls off a brass monkey'.
Come hell or high water,Despite any great difficult or obstacle.
Comfort women,women forced into sexual slavery by the Japanese in WWII.
Company man,A worker especially loyal to the employer he works for.
Cop an attitude,Adopt an aggressive stance.
Corduroy road,A road that is ridged and furrowed like the fabric.
Country house hotel,An upmarket hotel located in a revamped rural mansion.
Crack someone up,Make someone laugh.
Cream crackered,"Cockney rhyming slang for knackered. - note, when this term was coined, cream crackers were a popular snack in the UK."
Cross that bridge when you come to it,"Deal with a problem if and when it becomes necessary, not before."
Cross your fingers,To hope that something happens.
Crunch time,The period of time just before a project has to be completed.
Cry wolf,Intentionally raise a false alarm.
Curiosity killed the cat,Being inquisitive can lead you into a dangerous situation.
Currant bun,Cockney rhyming slang for sun.
Cut corners,"Doing things in a slipshod way, to avoid expense or effort."
Cut to the chase,Leave out all the unnecessary details and get straight to the point.
Daily grind,The dull daily routine.
Daisy roots,Cockney rhyming slang for boots.
Date rape,The rape by a man of his partner on a date.
Day surgery,Minor surgery that does not require the patient to stay in hospital overnight.
Daylight saving time,The adjustment of clocks to provide longer evening daylight.
